,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_ref_2024,pitax_ref_2024,total_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
20,"23,681.8244",2.0000,"5,969.0000","21,096.7491",2.0000,"5,955.0000","21,096.7491",2.0000,"5,955.0000","21,096.7491",42.0000,"6,610.0000","21,096.7491",193.0000,"7,337.0000","21,096.7491",372.0000,"8,145.0000","21,096.7491",589.0000,"9,040.0000","21,096.7491",857.0000,"10,035.0000","21,096.7491","1,158.0000","11,139.0000","21,096.7491","1,495.0000","12,364.0000","21,096.7491","1,872.0000","13,724.0000",0.0003,0.0003
21,"23,681.8244",5.0000,"6,222.0000","21,096.7491",10.0000,"6,208.0000","21,096.7491",7.0000,"6,208.0000","21,096.7491",96.0000,"6,891.0000","21,096.7491",260.0000,"7,649.0000","21,096.7491",448.0000,"8,490.0000","21,096.7491",686.0000,"9,424.0000","21,096.7491",964.0000,"10,460.0000","21,096.7491","1,273.0000","11,611.0000","21,096.7491","1,625.0000","12,888.0000","21,096.7491","2,017.0000","14,306.0000",0.0016,0.0011
22,"23,631.1138",4.0000,"6,461.0000","21,051.5741",35.0000,"6,446.0000","21,051.5741",22.0000,"6,446.0000","21,051.5741",158.0000,"7,156.0000","21,051.5741",334.0000,"7,943.0000","21,051.5741",539.0000,"8,816.0000","21,051.5741",799.0000,"9,786.0000","21,051.5741","1,092.0000","10,863.0000","21,051.5741","1,420.0000","12,058.0000","21,051.5741","1,788.0000","13,384.0000","21,051.5741","2,197.0000","14,856.0000",0.0054,0.0034
23,"23,681.8244",2.0000,"6,709.0000","21,096.7491",67.0000,"6,694.0000","21,096.7491",48.0000,"6,694.0000","21,096.7491",196.0000,"7,430.0000","21,096.7491",377.0000,"8,247.0000","21,096.7491",597.0000,"9,154.0000","21,096.7491",864.0000,"10,161.0000","21,096.7491","1,165.0000","11,279.0000","21,096.7491","1,505.0000","12,520.0000","21,096.7491","1,883.0000","13,897.0000","21,096.7491","2,306.0000","15,426.0000",0.0100,0.0072
24,"23,681.8244",10.0000,"6,957.0000","21,096.7491",120.0000,"6,941.0000","21,096.7491",97.0000,"6,941.0000","21,096.7491",262.0000,"7,704.0000","21,096.7491",451.0000,"8,552.0000","21,096.7491",691.0000,"9,492.0000","21,096.7491",971.0000,"10,537.0000","21,096.7491","1,283.0000","11,696.0000","21,096.7491","1,636.0000","12,982.0000","21,096.7491","2,029.0000","14,410.0000","21,096.7491","2,466.0000","15,995.0000",0.0173,0.0140
25,"23,681.8244",20.0000,"7,153.0000","21,096.7491",155.0000,"7,137.0000","21,096.7491",131.0000,"7,137.0000","21,096.7491",302.0000,"7,922.0000","21,096.7491",499.0000,"8,793.0000","21,096.7491",750.0000,"9,761.0000","21,096.7491","1,036.0000","10,834.0000","21,096.7491","1,358.0000","12,026.0000","21,096.7491","1,719.0000","13,349.0000","21,096.7491","2,123.0000","14,817.0000","21,096.7491","2,573.0000","16,447.0000",0.0217,0.0184
26,"23,681.8244",52.0000,"7,394.0000","21,096.7491",212.0000,"7,377.0000","21,096.7491",186.0000,"7,377.0000","21,096.7491",366.0000,"8,188.0000","21,096.7491",583.0000,"9,089.0000","21,096.7491",849.0000,"10,089.0000","21,096.7491","1,147.0000","11,199.0000","21,096.7491","1,483.0000","12,431.0000","21,096.7491","1,857.0000","13,798.0000","21,096.7491","2,274.0000","15,316.0000","21,096.7491","2,738.0000","17,000.0000",0.0287,0.0252
27,"23,681.8244",92.0000,"7,638.0000","21,096.7491",260.0000,"7,620.0000","21,096.7491",233.0000,"7,620.0000","21,096.7491",418.0000,"8,459.0000","21,096.7491",653.0000,"9,389.0000","21,096.7491",933.0000,"10,422.0000","21,096.7491","1,245.0000","11,568.0000","21,096.7491","1,594.0000","12,841.0000","21,096.7491","1,982.0000","14,253.0000","21,096.7491","2,413.0000","15,821.0000","21,096.7491","2,894.0000","17,561.0000",0.0341,0.0306
28,"23,681.8244",143.0000,"7,889.0000","21,096.7491",317.0000,"7,872.0000","21,096.7491",288.0000,"7,872.0000","21,096.7491",485.0000,"8,737.0000","21,096.7491",737.0000,"9,699.0000","21,096.7491","1,025.0000","10,765.0000","21,096.7491","1,347.0000","11,950.0000","21,096.7491","1,708.0000","13,264.0000","21,096.7491","2,109.0000","14,723.0000","21,096.7491","2,555.0000","16,343.0000","21,096.7491","3,051.0000","18,140.0000",0.0403,0.0366
29,"23,681.8244",210.0000,"8,148.0000","21,096.7491",383.0000,"8,129.0000","21,096.7491",354.0000,"8,129.0000","21,096.7491",566.0000,"9,023.0000","21,096.7491",830.0000,"10,016.0000","21,096.7491","1,128.0000","11,118.0000","21,096.7491","1,462.0000","12,341.0000","21,096.7491","1,834.0000","13,698.0000","21,096.7491","2,249.0000","15,205.0000","21,096.7491","2,711.0000","16,878.0000","21,096.7491","3,225.0000","18,734.0000",0.0471,0.0435
30,"23,681.8244",284.0000,"8,437.0000","21,096.7491",463.0000,"8,418.0000","21,096.7491",431.0000,"8,418.0000","21,096.7491",670.0000,"9,344.0000","21,096.7491",952.0000,"10,372.0000","21,096.7491","1,267.0000","11,513.0000","21,096.7491","1,618.0000","12,779.0000","21,096.7491","2,008.0000","14,185.0000","21,096.7491","2,441.0000","15,745.0000","21,096.7491","2,924.0000","17,477.0000","21,096.7491","3,461.0000","19,399.0000",0.0550,0.0512
31,"23,681.8244",309.0000,"8,630.0000","21,096.7491",486.0000,"8,610.0000","21,096.7491",454.0000,"8,610.0000","21,096.7491",697.0000,"9,557.0000","21,096.7491",979.0000,"10,608.0000","21,096.7491","1,293.0000","11,775.0000","21,096.7491","1,647.0000","13,071.0000","21,096.7491","2,041.0000","14,508.0000","21,096.7491","2,479.0000","16,104.0000","21,096.7491","2,966.0000","17,876.0000","21,096.7491","3,508.0000","19,842.0000",0.0564,0.0527
32,"23,681.8244",376.0000,"8,932.0000","21,096.7491",561.0000,"8,912.0000","21,096.7491",525.0000,"8,912.0000","21,096.7491",782.0000,"9,892.0000","21,096.7491","1,073.0000","10,980.0000","21,096.7491","1,399.0000","12,188.0000","21,096.7491","1,763.0000","13,529.0000","21,096.7491","2,168.0000","15,017.0000","21,096.7491","2,620.0000","16,669.0000","21,096.7491","3,123.0000","18,502.0000","21,096.7491","3,682.0000","20,538.0000",0.0629,0.0589
33,"23,681.8244",438.0000,"9,180.0000","21,096.7491",637.0000,"9,159.0000","21,096.7491",598.0000,"9,159.0000","21,096.7491",870.0000,"10,166.0000","21,096.7491","1,174.0000","11,285.0000","21,096.7491","1,515.0000","12,526.0000","21,096.7491","1,894.0000","13,904.0000","21,096.7491","2,315.0000","15,433.0000","21,096.7491","2,784.0000","17,131.0000","21,096.7491","3,306.0000","19,015.0000","21,096.7491","3,885.0000","21,107.0000",0.0695,0.0653
34,"23,631.1138",488.0000,"9,432.0000","21,051.5741",695.0000,"9,410.0000","21,051.5741",655.0000,"9,410.0000","21,051.5741",932.0000,"10,445.0000","21,051.5741","1,241.0000","11,594.0000","21,051.5741","1,587.0000","12,870.0000","21,051.5741","1,971.0000","14,285.0000","21,051.5741","2,399.0000","15,857.0000","21,051.5741","2,876.0000","17,601.0000","21,051.5741","3,406.0000","19,537.0000","21,051.5741","3,995.0000","21,686.0000",0.0739,0.0696
35,"23,681.8244",559.0000,"9,786.0000","21,096.7491",773.0000,"9,764.0000","21,096.7491",731.0000,"9,764.0000","21,096.7491","1,017.0000","10,838.0000","21,096.7491","1,337.0000","12,030.0000","21,096.7491","1,696.0000","13,353.0000","21,096.7491","2,097.0000","14,822.0000","21,096.7491","2,543.0000","16,453.0000","21,096.7491","3,039.0000","18,263.0000","21,096.7491","3,590.0000","20,271.0000","21,096.7491","4,204.0000","22,501.0000",0.0792,0.0749
36,"23,681.8244",642.0000,"10,059.0000","21,096.7491",863.0000,"10,036.0000","21,096.7491",820.0000,"10,036.0000","21,096.7491","1,117.0000","11,140.0000","21,096.7491","1,449.0000","12,366.0000","21,096.7491","1,820.0000","13,726.0000","21,096.7491","2,232.0000","15,236.0000","21,096.7491","2,691.0000","16,912.0000","21,096.7491","3,201.0000","18,772.0000","21,096.7491","3,769.0000","20,837.0000","21,096.7491","4,399.0000","23,129.0000",0.0860,0.0817
37,"23,681.8244",719.0000,"10,381.0000","21,096.7491",941.0000,"10,357.0000","21,096.7491",896.0000,"10,357.0000","21,096.7491","1,201.0000","11,497.0000","21,096.7491","1,545.0000","12,761.0000","21,096.7491","1,928.0000","14,165.0000","21,096.7491","2,354.0000","15,723.0000","21,096.7491","2,827.0000","17,453.0000","21,096.7491","3,354.0000","19,373.0000","21,096.7491","3,941.0000","21,504.0000","21,096.7491","4,592.0000","23,869.0000",0.0909,0.0865
38,"23,681.8244",810.0000,"10,688.0000","21,096.7491","1,034.0000","10,664.0000","21,096.7491",988.0000,"10,664.0000","21,096.7491","1,304.0000","11,837.0000","21,096.7491","1,658.0000","13,139.0000","21,096.7491","2,051.0000","14,584.0000","21,096.7491","2,487.0000","16,188.0000","21,096.7491","2,974.0000","17,969.0000","21,096.7491","3,515.0000","19,945.0000","21,096.7491","4,117.0000","22,139.0000","21,096.7491","4,785.0000","24,575.0000",0.0970,0.0926
